Food Vendor,Type,Food tags,Price,Menu,Recommended,Recommended Item(s)
100% Grassfed,American,"Burgers, Fries",$$,,*,
2 Sisters,American,"Burgers, Sandwiches, Wraps",$$,https://twosiscatering.com/boxed-lunches,,
Ahli Babas Kabob Shop,Mediterranean,"Pita, Gyros, Salad, Fries",$$,https://s3-media0.fl.yelpcdn.com/bphoto/7OYgVsewqmJl5zCXj3ZkaQ/o.jpg,,
Asian Sensation,Asian,"Noodles, Rice Bowls",,https://www.asiansensationfood.com/menu,*,
Basic Bowl Bros,American,"Chicken, Burgers, Tacos, Mac & Cheese, Smoothies",,https://www.basicbowlbros410.com/menu,,
Bean Loft Coffee Company,N/A,N/A,N/A,N/A,N/A,N/A
Billyum's Bites,Latin American,"Burritos, Mac & Cheese, Fish, Lemonade",,https://billyumsbites.org/menu/,,
Bulldog Burgery,American,"Burgers, Fries, Chips, Poutine",,http://bulldogburgery.com/,,
Bun'd Up,Asian,"Rice Bowls, Buns, Chicken Wings",$$,https://bund-up-mobile.square.site/#items,,
Cafe Racer Food Truck,American,"Breakfast, Coffee, Bagels, Burgers, Chicken, Fries",$$,https://www.caferacer78.com/breakfast-menu,*,
Captain Muchacho's Food Truck,Mexican,"Tacos, Nachos, Chips",$$,https://captainmuchachos.com/menu,,
Chicken & Waffles,American,"Chicken, Mac & Cheese, Fries, Breakfast",$,https://www.bestfoodtrucks.com/truck/nashville-chicken-waffles/menu,,
Chicken Mac Truck,American,Mac & Cheese,,https://www.chickenmactruck.com/menu/,,
Cocobongos,Mexican,"Smoothies, Nachos",,https://www.restaurantji.com/tx/el-paso/cocobongos-/,,
Coconut Bowl and Grill,American,"Acai Bowls, Rice Bowls, Drinks, Grilled Cheese",,https://www.thecoconutbowlandgrill.com/,,
Daddy's Dogs,American,"Hot Dogs, Tater Tots",,https://www.daddysdogs.com/menu,*,
Dank Dogs Delicias Colombianas RR,Colombian,"Mexican, Plantain, Chorizo, ",$$,https://www.bestfoodtrucks.com/truck/delicias-colombianas-rr/menu,,
Driving You Donuts,Breakfast,"Coffee, Donuts, ",$,https://www.bestfoodtrucks.com/truck/dyd/menu,,
Fat Beef Burger,N/A,N/A,N/A,N/A,N/A,N/A
Festi Bowl,American,"Rice Bowls, Smoothies, Vegetables, Vegan, Diet",$,https://festibowls.com/menu/,,
Fire & Rice Paella,Mexican,Rice Bowls,$$$,http://www.fireandrice.us/menu.html,,
Fistful Of Tacos,Mexican,"Tacos, Nachos, Chips, Lemonade",$$,https://www.fistfuloftacos.com/menu,,
Flaming Wok,Asian,"Rice Bowls, Chicken, Shrimp, Ragoons, Wontons",$,https://order.chownow.com/order/2559/locations/3342?cn_script=true,,
Fly Rice,N/A,N/A,N/A,N/A,N/A,N/A
Fro-Daddy Donuts,American,"Breakfast, Donuts, Coffee",$,https://frodaddydonuts.com/,,
Haitie B's Hot Chicken,American,"Chicken, Sandwiches, Fries, Mac & Cheese",,https://www.hattieb.com/menu,*,
Hebros Kitchen,Mediterranean,"Pita, Mac & Cheese",,,,
Hippie Dips,American,"Sandwiches, Fruit Bowls, Smoothies",,https://hippiedips.com/,,
Ice Box Brand Ice Cream Bars,Dessert,"Ice Cream Bars, Frozen Fruit Bars",,https://www.iceboxbrand.com/ice-pops/,,
Island Noodles,Hawaiian,Noodles,,,*,
Jalapeno Corndog Concessions,American,"Corndogs, Tater Tots, Chicken Tenders, Funnel Cakes",,https://www.facebook.com/JalapenoCorndog/,,
Japanese Flair,Asian,Noodles,,,,
Just Brewed Coffee,Breakfast,Coffee,,https://www.justbrewedcoffee.com/about?,,
Just Squeezed: Lemonade,Drinks,Lemonade,,https://justsqueezed.mykajabi.com/,,
King Of Pops,Dessert,Frozen Fruit Bars,,https://www.kingofpops.com/flavors,,
Ko'Ala Kreations,Hawaiian,"Beef, Chicken, Pork, Rice, Poke",,https://koloakreations.com/menu/catering/,,
Kokomo Joe's,American,"Sandwiches, Burgers, Pizza, Chicken Wings, Fries",$$,https://kjfun.com/cafe-bar/,,
Kona Ice of Middle Tennessee,Dessert,"Snow Cone, Flavored Ice",,https://www.kona-ice.com/,,
Los Burgers Hermanos,American,"Burgers, Fries, ",$$,https://hermanosburgers.com/#menu,,
Meltdown Gourmet,American,"Sandwiches, Melts, Fries",,https://themeltdown.com/melts/,,
Nashbowls Acai,American,Acai Bowls ,,https://www.nashbowls.com/menus,,
Nomad Coffee Company,Breakfast,"Coffee, Tea, Hot Chocolate",$,https://www.drinknomadcoffee.com/drinkmenu,,
Outback Kate's,N/A,N/A,N/A,N/A,N/A,
Peace Love Quesadillas,Mexican,"Quesadillas, Lemonade, Tea",,https://peacelovequesadillas.com/photos-yum-1,,
Pele's Wood Fire,Pizza,Pizza,,http://www.peleswoodfire.com/,,
Phat Daddy's Creole Eats,Soul Food,"Southern, Cajun, Jambalaya",,,*,"Cheddar Jalapeno Hushpuppies, Gator Bites"
Piedaddy,American Fusion,"Rice Bowls, Chicken, Beef, Fish,",,https://www.piedaddy.net/eat,,
Pizza Nova,American,"Pizza, Lemonade",$,https://www.instagram.com/thepizzanova/,,
Ponchos Mexican Cafe,Mexican,"Tacos, Fajitas, Enchiladas, Burritos",$$,https://ponchosmexicanfood.com/menu/,,
Pooja Events,American,Grilled Cheese,,,,
Rice Rice Baby: Hibachi & Poke,Asian,"Fried Rice, Chicken, Steak, Fish, Rice bowl",,https://www.facebook.com/photo/?fbid=1426256750778202&set=ecnf.100064109256053,,
Rocky Top Soft Serve Rolling Oven,Dessert,"Ice Cream, Milkshakes",,https://www.facebook.com/photo/?fbid=238424165571361&set=ecnf.100082113370679,,
Roti Rolls,Soul Food,"Sandwiches, Rice Bowls, Mac & Cheese",$$,https://www.chaoticconcessions.com/bios-menus,*,
Solar Cafe,Drinks,"Smoothies, fresh juices, fair trade coffee, vegetarian/vegan",,,,
Southern Specialties,American,"Barbeque, Burgers, Sausages, Chicken, Pork",,https://www.facebook.com/photo/?fbid=751421622800444&set=a.751421589467114,,
Spicy Pie,Pizza,"Pizza, Lemonade, Tea",$$,https://www.yelp.com/biz_photos/spicy-pie-indio?select=1Fbnpykdrut7gAFraXks0A,*,
Steak Boys Inc,American,"Burgers, Corndogs, Chicken Tenders, Sausage, Gyros, Fries",,https://steakboysinc.weebly.com/,,
Strawberry Fields,Drinks,"Smoothies, Acai Bowls, Preztels, Hot Dogs, Lemonade",,http://www.strawberryfieldsinc.com/menu-2.html,,
Taco Girl,Mexican,"Tacos, Nachos, Chips, Street Corn",$$,https://www.chaoticconcessions.com/bios-menus,,
The Beet Box,Drinks,"Fruit Juice, Smoothies, Smoothie Bowls",$$,https://beetboxrva.com/menus/,,
The Benevolent Burrito,N/A,N/A,N/A,N/A,N/A,N/A
The Big Cheese,American,Grilled Cheese,,https://www.facebook.com/photo/?fbid=824834012983548&set=ecnf.100063708693733,,
The Inka Trailer,Latin American,"Sandwiches, Ceviches, Chicken, Rice, Fries, Tacos",$$,https://theinkatn.com/menu-1,,
The Loving Cup Twisted Diner,N/A,N/A,N/A,N/A,N/A,N/A
The Wandering Mug,Drinks,"Coffee, Esspresso",,https://thewanderingmug.com/menu/,,
Tica's Tacos,Mexican,"Tacos, Burritos, Nachos, Lemonade, Pizza",,https://www.ticastacos.com/2022-tour.html#/,,
Ticas's Brunch Bar,Breakfast,"Tacos, Burritos, Quesadillas",,https://www.ticastacos.com/breakfast.html#/,,
Ugadi Indian Grill,Indian,"Naan, Kababs, Chicken, Masala, ",,,,
Wicked Maine Lobster,American,"Lobster Rolls, Mac & Cheese, Tacos, Sandwiches, Fish & Chips",,https://wickedmainelobster.com/menu,,
Wookie Dogs,American Fusion,"Korean Corn Dogs, Fruit Drinks",$,https://www.facebook.com/EatWookieDogs/,*,"Hibiscus Cooler, Any Korean Corndog"
